published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-11,1050.8,1050.8,1050.8,1050.8,-2.79,25,26270,A
2026-08-12,1070,1070,1070,1070,1.83,25,26750,A
2026-08-20,1070,1070,1070,1070,0,25,26750,A
2026-08-26,1055.2,1055.2,1055.1,1055.1,-1.39,25,26379,A
2026-09-01,1060,1060,1060,1070,1.41,30,31850,A
2026-09-02,1050.6,1050.6,1050.6,1050.6,-1.81,25,26265,A
2026-09-07,1082.1,1082.1,1081,1081,2.89,50,54077.5,A
2026-09-09,1113,1113.4,1113,1082.1,0.1,357,397293.7,A
2026-09-11,1082.1,1154,1082.1,1154,6.64,355,409623,A
2026-09-15,1120,1120,1090,1090,-5.55,50,55250,A
2026-09-17,1059.6,1059.6,1059.6,1059.6,-2.79,25,26490,A
2026-09-18,1091,1091,1091,1091,2.96,25,27275,A
2026-09-22,1058.6,1090,1058.6,1090,-0.09,55,59165,A
2026-09-23,1059,1059,1059,1059,-2.84,25,26475,A
