published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,554.5,555,537.2,542.2,-2.22,31077,16851159,A
2026-08-10,533.1,550,533.1,542,-0.04,28378,15361803.9,A
2026-08-11,537,555.2,537,542,0,47780,26093803.7,A
2026-08-12,539,550,531,532,-1.85,46191,24886647,A
2026-08-13,508,539,508,539,1.32,23312,12441796.8,A
2026-08-14,530,543,528.2,536,-0.56,21868,11706319.7,A
2026-08-17,530,553,528,550,2.61,58046,31572671.3,A
2026-08-18,550,565.1,546.2,548.9,-0.2,76841,42632985.7,A
2026-08-19,544,556,533,550,0.2,25463,13939241.6,A
2026-08-20,540,549,536,540,-1.82,22715,12285916.3,A
2026-08-21,535,545,522,527,-2.41,49833,26454714.3,A
2026-08-24,553.3,553.3,506,506,-3.98,48136,24746993.6,A
2026-08-25,499,517,498,503,-0.59,33972,17143989.8,A
2026-08-26,500,503,488.1,490.8,-2.43,32048,15789035.4,A
2026-08-27,480,512,478,502.5,2.38,26809,13239439.8,A
2026-08-31,502.5,502.5,475.4,476,-5.27,24009,11596718.5,A
2026-09-01,465,490.4,465,475,-0.21,21230,10207704.1,A
