published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,9.07,9.2,8.85,9.2,-1.6,5900,53754,A
2026-08-10,9,9.1,9,9.05,-1.63,5120,46476,A
2026-08-11,9,9.27,8.91,9.11,0.66,5800,52535,A
2026-08-12,9.1,9.2,8.9,9.05,-0.66,12750,115171,A
2026-08-13,9,9.1,9,9.03,-0.22,3950,35669.5,A
2026-08-14,9,9.38,9,9.38,3.88,6200,57102,A
2026-08-17,9.1,9.27,9,9.13,-2.67,2600,23723,A
2026-08-18,9,9.2,8.95,9.1,-0.33,3900,35139,A
2026-08-19,9.1,9.3,8.76,8.95,-1.65,2700,24242,A
2026-08-20,8.95,9.1,8.9,9,0.56,2300,20632,A
2026-08-21,8.9,9,8.9,8.95,-0.56,5100,45554,A
2026-08-24,8.55,9.15,8.55,8.93,-0.22,22100,196962,A
2026-08-25,8.85,9.18,8.85,8.95,0.22,4100,36816,A
2026-08-26,8.89,9.01,8.75,9,0.56,2600,23270,A
2026-08-27,9,9.11,8.8,9.11,1.22,2300,20451,A
2026-08-31,9.11,9.11,8.88,9,-1.21,5850,52538,A
2026-09-01,8.73,9.05,8.6,8.86,-1.56,2000,17744,A
2026-09-02,8.86,9,8.85,9,1.58,3300,29270,A
