published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-12,300,345,300,345,15,150,49524,A
2026-08-13,355.3,396.7,355.3,396.7,14.99,220,85853,A
2026-08-14,400,456.2,400,456.2,15,220,97664,A
2026-08-17,435,524.6,435,524.6,14.99,460,238403,A
2026-08-18,540.3,603.2,540.3,603.2,14.98,970,583577,A
2026-08-19,633,693.6,633,693.6,14.99,2880,1996302,A
2026-08-20,728.2,797.6,728.2,797.6,14.99,28980,23097581,A
2026-08-21,837.4,855,752,774,-2.96,130560,102270420,A
2026-08-24,774,774,704.1,713.9,-7.76,76385,55903196.6,A
2026-08-25,700.1,731,681.5,699,-2.09,42665,29948667.6,A
2026-08-26,700,700,661.2,666,-4.72,34433,23224945.6,A
