published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-10,1035.1,1035.1,1035,1035,-0.03,100,103505.5,A
2026-08-12,1030.3,1030.3,1030.3,1030.3,-0.45,25,25757.5,A
2026-08-14,1030,1034.1,1030,1034.1,0.37,50,51602.5,A
2026-08-17,1035,1035,1035,1035,0.09,25,25875,A
2026-08-18,1030.1,1030.1,1030.1,1030.1,-0.47,25,25752.5,A
2026-08-21,1035,1035,1035,1035,0.48,25,25875,A
2026-08-25,1030,1033.3,1030,1033.1,-0.18,190,196148,A
2026-08-26,1022.6,1030,1022.5,1030,-0.3,100,102627.6,A
2026-09-01,1017.2,1017.2,1017.2,1017.2,-1.24,25,25430,A
2026-09-02,1031.1,1031.1,1031.1,1031.1,1.37,55,56710.5,A
