published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-24,1000,1000,932,962,0,585,573814,A
2026-08-25,962,990,962,990,2.91,50,48800,A
2026-08-26,962,990.8,962,990.8,0.08,125,121690,A
2026-08-27,963,990,963,990,-0.08,35,33975,A
2026-08-31,986,986,980,981,-0.91,100,98300,A
2026-09-01,951.6,999,930,999,1.83,770,760585,A
2026-09-02,970,970,941,941,-5.81,50,47775,A
2026-09-03,915,915,907.1,909,-3.4,80,72852.5,A
2026-09-07,909,930,909,930,2.31,75,69225,A
2026-09-09,903.1,903.1,903.1,903.1,-2.89,25,22577.5,A
2026-09-10,920,930,907.6,907.6,0.5,75,68940,A
2026-09-14,907.6,907.6,907.6,907.6,0,25,22690,A
2026-09-17,934,934,930,934,2.91,75,69950,A
2026-09-18,930,930,930,930,-0.43,50,46500,A
2026-09-22,911.1,929,911.1,929,-0.11,75,68789.9,A
2026-09-23,920,923,920,923,-0.65,50,46075,A
2026-09-24,920,920,920,920,-0.33,25,23000,A
