published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,9.4,9.5,9.13,9.5,0,12800,119230,A
2026-08-10,9.22,9.4,9.15,9.26,-2.53,7350,67761,A
2026-08-11,9.1,9.11,9,9.07,-2.05,11415,103320.05,A
2026-08-12,9,9.34,8.9,9.08,0.11,8590,77872.5,A
2026-08-13,9,9.4,8.76,9.02,-0.66,8395,76023.5,A
2026-08-14,9,9.78,9,9.13,1.22,8200,74998,A
2026-08-17,9.1,9.4,8.92,9.09,-0.44,6120,55847.5,A
2026-08-18,8.9,9.25,8.9,9.07,-0.22,6430,58458,A
2026-08-19,9,9.27,9,9.03,-0.44,6370,57640.8,A
2026-08-20,9.02,9.08,9.02,9.04,0.11,3950,35687,A
2026-08-21,9.01,9.02,9,9.01,-0.33,5300,47758,A
2026-08-24,9,9.1,9,9.06,0.55,4500,40643,A
2026-08-25,9.01,9.3,9.01,9.04,-0.22,8210,74466.8,A
2026-08-26,9.04,9.1,9.02,9.05,0.11,2600,23562,A
2026-08-27,8.93,9.2,8.93,9.05,0,5400,48707,A
2026-08-31,8.87,9.05,8.8,9,-0.55,4700,42201,A
2026-09-01,8.8,9.05,8.8,9,0,4925,44383,A
2026-09-02,9,9.2,8.97,8.99,-0.11,3300,29809,A
