published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-13,300,345,300,345,15,70,22824,A
2026-08-14,348.4,396.7,348.4,396.7,14.99,60,22458,A
2026-08-17,404.2,456.2,404.2,456.2,15,160,71116,A
2026-08-18,456.5,524.6,456.5,524.6,14.99,150,76691,A
2026-08-19,537.7,603.2,537.7,603.2,14.98,190,112319,A
2026-08-20,621.2,693.6,621.2,693.6,14.99,180,123089,A
2026-08-21,714.4,797.6,714.4,797.6,14.99,400,317021,A
2026-08-24,837,917.2,837,917.2,14.99,960,877235,A
2026-08-25,917,1054.7,917,1054.7,14.99,1420,1493620,A
2026-08-26,1055,1212.9,1055,1212.9,15,1820,2202837,A
2026-08-27,1273.5,1394.8,1273.5,1394.8,15,4690,6535458,A
2026-08-31,1464.5,1604,1276,1276,-8.52,115467,159195100.8,A
2026-09-01,1250,1340,1238,1253,-1.8,51350,64852198.5,A
2026-09-02,1238,1270,1221.2,1230,-1.84,26980,33440363,A
