published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,1031.1,1031.1,1031,1031,-0.87,100,103101.5,A
2026-08-13,1036,1036,1035.1,1035.1,0.4,25,25886.5,A
2026-08-14,1066.1,1066.1,1050,1050,1.44,47,49833,A
2026-08-18,1031.1,1031.1,1031.1,1031.1,-1.8,25,25777.5,A
2026-08-20,1059.9,1060,1059.9,1060,2.8,100,105997.5,A
2026-08-27,1060,1060,1060,1060,0,25,26500,A
2026-09-02,1050,1050,1050,1050,-0.94,25,26250,A
2026-09-07,1050,1050,1050,1050,0,25,26250,A
2026-09-14,1060,1060,1060,1060,0.95,10,10600,A
2026-09-15,1029.3,1040,1029.3,1030.1,-2.82,395,407908.5,A
2026-09-22,1027,1027,1027,1027,-0.3,25,25675,A
2026-09-23,1028.1,1028.1,1028,1028,0.1,500,514004,A
2026-09-24,1041,1041.2,1029,1041.2,1.28,543,560122.6,A
