published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,9.1,9.5,8.99,9.15,-0.11,38577,356587.36,A
2026-08-10,9,9.25,8.96,9.25,1.09,32050,290849.5,A
2026-08-11,9,9.11,8.93,9.05,-2.16,8040,72614.8,A
2026-08-12,8.78,9.5,8.78,9.21,1.77,21470,199287.5,A
2026-08-13,9.2,9.4,9,9.1,-1.19,8545,78343.4,A
2026-08-14,9,9.32,9,9.32,2.42,12250,112071.5,A
2026-08-17,9.05,9.32,9.05,9.1,-2.36,6000,54701,A
2026-08-18,9,9.11,8.92,9.03,-0.77,7350,66435.5,A
2026-08-19,9.01,9.29,8.8,9.02,-0.11,7950,72106.5,A
2026-08-20,9.02,9.05,9.01,9.03,0.11,4900,44226,A
2026-08-21,9.02,9.27,8.9,9.01,-0.22,13922,126059,A
2026-08-24,8.74,9.05,8.72,9.05,0.44,8400,75398,A
2026-08-25,8.8,9.16,8.8,9.15,1.1,15500,140034,A
2026-08-26,8.88,9.1,8.88,9.1,-0.55,4300,38943,A
2026-08-27,8.85,9.15,8.85,9.14,0.44,10100,91795.5,A
2026-08-31,8.9,9.16,8.72,9,-1.1,7800,70209,A
2026-09-01,8.73,9.01,8.51,9,0,7600,67157,A
