published_date,price
2010-06-01,35499
2010-06-02,36053
2010-06-07,35901
2010-06-08,36199
2010-06-09,36199
2010-06-10,36041
2010-06-13,35808
2010-09-24,51350
2010-10-06,37802
2010-10-07,38001
2010-10-08,37849
2010-10-10,38001
2010-10-11,38199
2010-10-12,38199
2010-10-13,38199
2010-10-20,38001
2010-10-21,38001
2010-10-22,37802
2010-10-24,37902
2010-11-02,38724
2010-11-03,38298
2010-11-04,38298
2010-11-10,39150
2010-11-14,39097
2010-11-15,39097
2010-11-16,38899
2010-11-17,38502
2010-11-18,38701
2010-11-21,38852
2010-11-22,38998
2010-11-23,39301
2010-11-25,39698
2010-11-28,39552
2010-11-29,39447
2010-11-30,39575
2010-12-01,40001
2010-12-02,39552
2010-12-05,40252
2010-12-06,40199
2010-12-07,40398
2010-12-08,39803
2010-12-09,39803
2010-12-12,39698
2010-12-13,39750
2010-12-15,39978
2010-12-19,39651
2010-12-20,39849
2010-12-21,39849
2010-12-22,39849
2010-12-23,39698
2010-12-26,39651
2010-12-27,39651
2010-12-28,39750
2010-12-29,40100
2010-12-30,40199
2010-12-31,40048
2011-01-02,40153
2011-01-03,40100
2011-01-04,40100
2011-01-05,39651
2011-01-06,39552
2011-01-07,39453
2011-01-09,39400
2011-01-10,39499
2011-01-11,39499
2011-01-12,39599
2011-01-13,39651
2011-01-14,39599
2011-01-16,39447
2011-01-17,39447
2011-01-18,39400
2011-01-19,39499
2011-01-20,39552
2011-01-21,39103
2011-01-23,39103
2011-01-24,39202
2011-01-25,38800
2011-01-26,38800
2011-01-27,38899
2011-01-28,38351
2011-01-30,38951
2011-01-31,38951
2011-02-01,38951
2011-02-02,38840
2011-02-03,38701
2011-02-04,39103
2011-02-06,39103
2011-02-07,38998
2011-02-08,38951
2011-02-09,39150
2011-02-10,39319
2011-02-11,39400
2011-02-13,39249
2011-02-14,39202
2011-02-15,39249
2011-02-16,39499
2011-02-17,39499
2011-02-18,39552
2011-02-20,39599
2011-02-21,39698
2011-02-22,39925
2011-02-23,39849
2011-02-24,40199
2011-02-25,40199
2011-02-27,40199
2011-02-28,40246
2011-03-01,40199
2011-03-03,40590
2011-03-04,40199
2011-03-06,40450
2011-03-07,40695
2011-03-08,40549
2011-03-09,40398
2011-03-10,40450
2011-03-11,40153
2011-03-13,40199
2011-03-14,40403
2011-03-15,40199
2011-03-16,39902
2011-03-17,39803
2011-03-18,40001
2011-03-20,40153
2011-03-21,40398
2011-03-22,40398
2011-03-23,40298
2011-03-24,40450
2011-03-25,40252
2011-03-27,40153
2011-03-28,40048
2011-03-29,39949
2011-03-30,39902
2011-03-31,40100
2011-04-01,40001
2011-04-03,40048
2011-04-04,40001
2011-04-05,40153
2011-04-06,40398
2011-04-07,40398
2011-04-08,40450
2011-04-10,40701
2011-04-11,40747
2011-04-12,40602
2011-04-13,40648
2011-04-15,41097
2011-04-17,41348
2011-04-18,41249
2011-04-19,41500
2011-04-20,41500
2011-04-21,41651
2011-04-22,41651
2011-04-24,42100
2011-04-25,42100
2011-04-26,41751
2011-04-27,41850
2011-04-28,42299
2011-04-29,42450
2011-05-01,43098
2011-05-02,42899
2011-05-03,42899
2011-05-04,42649
2011-05-05,42299
2011-05-06,41698
2011-05-08,41797
2011-05-09,41902
2011-05-10,42200
2011-05-11,42497
2011-05-12,42100
2011-05-13,42100
2011-05-15,42001
2011-05-16,42001
2011-05-18,42001
2011-05-19,42001
2011-05-20,42001
2011-05-22,42497
2011-05-23,42602
2011-05-24,42701
2011-05-25,43098
2011-05-26,43156
2011-05-27,43098
2011-05-29,43302
2011-05-30,43249
2011-05-31,43150
2011-06-01,42952
2011-06-02,43098
2011-06-03,42853
2011-06-05,43051
2011-06-06,43098
2011-06-07,43098
2011-06-08,42923
2011-06-09,42748
2011-06-10,42952
2011-06-12,42748
2011-06-13,42800
2011-06-14,42497
2011-06-15,42550
2011-06-16,42649
2011-06-17,42701
2011-06-19,43098
2011-06-20,43098
2011-06-21,43197
2011-06-22,43197
2011-06-23,43302
2011-06-24,42701
2011-06-26,42246
2011-06-27,42246
2011-06-28,42147
2011-06-29,42200
2011-06-30,42246
2011-07-01,41797
2011-07-03,41500
2011-07-04,41500
2011-07-05,41599
2011-07-06,42001
2011-07-07,42497
2011-07-08,42497
2011-07-10,42748
2011-07-11,42748
2011-07-12,43098
2011-07-13,43500
2011-07-14,43903
2011-07-15,43850
2011-07-17,43914
2011-07-18,44147
2011-07-19,44299
2011-07-20,44002
2011-07-21,44200
2011-07-22,43903
2011-07-24,44101
2011-07-25,44550
2011-07-26,44550
2011-07-27,44352
2011-07-28,44352
2011-07-29,44352
2011-07-31,44702
2011-08-01,44299
2011-08-02,44702
2011-08-03,45699
2011-08-04,45950
2011-08-05,46148
2011-08-07,46299
2011-08-08,47501
2011-08-09,49396
2011-08-10,49099
2011-08-11,50498
2011-08-12,49647
2011-08-14,49297
2011-08-15,49099
2011-08-16,49501
2011-08-17,50248
2011-08-18,50697
2011-08-19,52248
2011-08-21,52400
2011-08-22,53397
2011-08-23,53898
2011-08-24,52400
2011-08-25,50003
2011-08-26,50901
2011-08-28,52499
2011-08-29,51898
2011-08-30,51297
2011-08-31,52400
2011-09-01,52102
2011-09-02,52102
2011-09-04,53304
2011-09-05,53304
2011-09-06,54202
2011-09-07,52796
2011-09-08,52499
2011-09-09,53502
2011-09-11,53502
2011-09-12,53799
2011-09-13,53298
2011-09-14,53799
2011-09-15,53304
2011-09-16,51904
2011-09-18,53000
2011-09-19,53601
2011-09-20,53000
2011-09-21,53601
2011-09-22,53449
2011-09-23,53199
2011-09-26,49799
2011-09-27,50708
2011-09-28,50708
2011-09-29,49699
2011-09-30,50300
2011-10-02,50300
2011-10-09,51000
2011-10-10,51198
2011-10-11,51700
2011-10-12,51502
2011-10-13,51198
2011-10-14,51000
2011-10-16,51297
2011-10-17,51297
2011-10-18,51198
2011-10-19,50901
2011-10-20,50201
2011-10-21,50749
2011-10-23,51262
2011-10-24,51262
2011-10-25,51262
2011-10-26,52697
2011-10-30,52901
2011-10-31,52300
2011-11-01,52300
2011-11-02,52802
2011-11-03,53000
2011-11-04,53595
2011-11-06,53502
2011-11-07,53700
2011-11-08,54703
2011-11-09,55199
2011-11-10,54703
2011-11-11,54703
2011-11-13,55100
2011-11-14,55199
2011-11-15,55199
2011-11-16,55403
2011-11-17,55251
2011-11-18,54598
2011-11-20,54948
2011-11-21,55100
2011-11-22,54797
2011-11-23,55001
2011-11-24,54750
2011-11-25,54651
2011-11-27,54499
2011-11-28,54948
2011-11-29,54948
2011-11-30,55496
2011-12-01,55800
2011-12-02,55403
2011-12-05,55496
2011-12-06,54499
2011-12-07,55047
2011-12-08,55700
2011-12-09,55199
2011-12-11,55199
2011-12-12,54750
2011-12-13,54598
2011-12-14,54447
2011-12-15,52849
2011-12-16,51851
2011-12-18,52347
2011-12-19,52347
2011-12-20,52545
2011-12-21,53199
2011-12-22,52802
2011-12-23,52802
2011-12-25,52901
2011-12-26,52901
2011-12-27,52604
2011-12-28,52604
2011-12-29,51904
2011-12-30,51904
2012-01-01,52300
2012-01-02,52300
2012-01-03,52400
2012-01-04,52901
2012-01-05,53099
2012-01-06,53304
2012-01-08,53199
2012-01-09,53000
2012-01-10,53000
2012-01-11,53199
2012-01-12,53199
2012-01-13,53199
2012-01-15,53099
2012-01-16,52901
2012-01-17,52849
2012-01-18,53000
2012-01-19,53000
2012-01-20,53000
2012-01-22,53000
2012-01-23,53000
2012-01-24,53000
2012-01-25,53000
2012-01-26,53502
2012-01-27,53502
2012-01-29,53998
2012-01-30,53998
2012-01-31,54301
2012-02-01,54499
2012-02-02,54499
2012-02-03,54295
2012-02-05,54202
2012-02-06,53502
2012-02-07,53502
2012-02-08,54499
2012-02-09,54499
2012-02-10,54400
2012-02-12,54097
2012-02-13,54097
2012-02-14,53998
2012-02-15,53898
2012-02-16,53898
2012-02-17,54097
2012-02-19,53998
2012-02-20,54097
2012-02-21,54097
2012-02-22,54697
2012-02-23,55298
2012-02-24,55397
2012-02-26,55246
2012-02-27,55100
2012-02-28,55001
2012-02-29,55298
2012-03-01,53601
2012-03-02,53700
2012-03-04,53747
2012-03-05,54003
2012-03-06,54003
2012-03-08,54003
2012-03-09,54149
2012-03-11,54202
2012-03-12,54003
2012-03-13,54003
2012-03-14,53502
2012-03-15,52499
2012-03-16,53000
2012-03-18,53502
2012-03-19,53502
2012-03-20,53502
2012-03-21,53502
2012-03-23,53502
2012-03-25,54003
2012-03-26,54103
2012-03-27,54697
2012-03-28,54400
2012-03-29,53998
2012-03-30,53998
2012-04-01,54202
2012-04-02,53998
2012-04-03,53998
2012-04-04,53397
2012-04-05,52901
2012-04-06,53502
2012-04-08,53502
2012-04-09,53601
2012-04-10,53601
2012-04-11,54097
2012-04-12,54097
2012-04-15,54097
2012-04-16,54097
2012-04-17,54097
2012-04-18,54097
2012-04-19,54097
2012-04-20,54400
2012-04-22,54400
2012-04-23,54400
2012-04-24,54797
2012-04-25,54797
2012-04-26,55001
2012-04-27,55199
2012-04-29,55298
2012-04-30,55298
2012-05-01,55496
2012-05-02,55397
2012-05-03,55397
2012-05-04,55998
2012-05-07,55899
2012-05-08,55403
2012-05-09,54703
2012-05-10,54703
2012-05-11,54703
2012-05-13,54400
2012-05-14,54301
2012-05-15,53799
2012-05-16,53595
2012-05-17,53898
2012-05-18,55001
2012-05-20,55001
2012-05-21,55001
2012-05-22,55199
2012-05-23,55199
2012-05-24,55199
2012-05-25,55001
2012-05-27,55100
2012-05-28,55100
2012-05-29,55100
2012-05-30,55001
2012-05-31,55496
2012-06-01,55199
2012-06-03,56797
2012-06-04,56599
2012-06-05,56599
2012-06-06,56902
2012-06-07,56651
2012-06-08,55100
2012-06-10,56301
2012-06-11,56301
2012-06-12,56651
2012-06-13,56949
2012-06-14,57199
2012-06-15,57246
2012-06-17,57199
2012-06-18,57100
2012-06-19,57701
2012-06-20,57503
2012-06-21,57398
2012-06-22,56599
2012-06-24,57001
2012-06-25,56599
2012-06-26,57398
2012-06-27,57199
2012-06-28,57199
2012-06-29,56499
2012-07-01,56698
2012-07-02,56599
2012-07-03,56447
2012-07-04,56301
2012-07-05,56546
2012-07-06,56651
2012-07-08,56196
2012-07-09,56400
2012-07-10,56400
2012-07-11,55800
2012-07-12,55800
2012-07-13,55700
2012-07-15,55700
2012-07-16,55601
2012-07-17,55747
2012-07-18,55601
2012-07-19,55601
2012-07-20,55601
2012-07-22,55800
2012-07-23,56045
2012-07-24,56196
2012-07-25,56546
2012-07-26,57100
2012-07-27,57001
2012-07-29,57100
2012-07-30,57100
2012-07-31,57199
2012-08-01,57001
2012-08-02,57001
2012-08-03,57001
2012-08-05,57001
2012-08-06,56599
2012-08-07,56797
2012-08-08,56797
2012-08-09,56797
2012-08-10,57100
2012-08-12,57199
2012-08-13,57398
2012-08-14,57398
2012-08-15,57398
2012-08-16,57398
2012-08-17,57497
2012-08-19,57602
2012-08-20,57701
2012-08-21,57701
2012-08-22,58051
2012-08-23,58599
2012-08-24,58902
2012-08-26,59194
2012-08-27,59398
2012-08-28,59194
2012-08-29,59299
2012-08-30,59001
2012-08-31,59001
2012-09-02,59899
2012-09-03,59777
2012-09-04,59999
2012-09-05,60197
2012-09-06,60535
2012-09-07,59999
2012-09-09,61118
2012-09-10,61177
2012-09-11,61060
2012-09-12,61060
2012-09-13,61060
2012-09-14,61760
2012-09-16,61293
2012-09-17,60897
2012-09-18,60652
2012-09-19,61002
2012-09-20,61002
2012-09-21,61002
2012-09-23,60500
2012-09-24,59800
2012-09-25,60197
2012-09-26,60197
2012-09-27,59701
2012-09-28,59894
2012-09-30,59789
2012-10-01,59602
2012-10-02,59497
2012-10-03,59200
2012-10-04,59001
2012-10-05,58937
2012-10-07,58937
2012-10-08,58999
2012-10-09,59299
2012-10-10,59474
2012-10-11,59719
2012-10-12,59649
2012-10-14,59147
2012-10-15,59147
2012-10-16,59048
2012-10-17,58996
2012-10-18,59229
2012-10-19,59450
2012-10-30,59001
2012-10-31,59299
2012-11-01,59299
2012-11-02,59200
2012-11-04,58401
2012-11-05,58401
2012-11-06,59001
2012-11-07,59701
2012-11-08,59835
2012-11-09,60098
2012-11-11,60500
2012-11-12,60500
2012-11-18,60360
2012-11-19,60500
2012-11-20,60798
2012-11-21,60798
2012-11-22,60850
2012-11-23,60850
2012-11-25,61847
2012-11-26,61847
2012-11-27,61847
2012-11-28,61497
2012-11-29,60798
2012-11-30,60500
2012-12-02,59497
2012-12-03,59649
2012-12-04,59899
2012-12-05,59649
2012-12-06,59497
2012-12-07,59649
2012-12-09,59748
2012-12-10,59701
2012-12-11,59497
2012-12-12,59299
2012-12-13,59001
2012-12-14,59200
2012-12-16,59200
2012-12-17,59200
2012-12-18,59001
2012-12-19,58797
2012-12-20,58698
2012-12-21,58319
2012-12-23,58500
2012-12-24,58500
2012-12-25,58500
2012-12-26,58319
2012-12-27,58319
2012-12-28,58500
2012-12-30,58500
2013-01-01,58797
2013-01-02,58797
2013-01-03,59100
2013-01-04,58500
2013-01-06,58599
2013-01-07,58599
2013-01-08,58599
2013-01-09,58599
2013-01-10,58319
2013-01-13,58319
2013-01-14,58401
2013-01-15,58401
2013-01-17,59001
2013-01-18,58797
2013-01-20,58599
2013-01-21,58599
2013-01-22,58599
2013-01-23,58599
2013-01-24,58500
2013-01-25,57800
2013-01-27,57800
2013-01-28,57998
2013-01-29,58202
2013-01-30,58202
2013-01-31,58202
2013-02-01,57800
2013-02-03,57800
2013-02-04,57800
2013-02-05,58097
2013-02-06,57800
2013-02-07,58097
2013-02-08,58302
2013-02-10,58302
2013-02-11,58302
2013-02-12,57800
2013-02-13,57899
2013-02-14,57800
2013-02-15,57503
2013-02-17,57001
2013-02-18,57199
2013-02-19,57199
2013-02-20,57001
2013-02-21,55700
2013-02-22,56301
2013-02-24,56301
2013-02-25,56097
2013-02-26,56301
2013-02-27,56803
2013-02-28,56301
2013-03-01,56301
2013-03-03,56499
2013-03-04,56599
2013-03-05,56599
2013-03-06,56599
2013-03-07,56698
2013-03-08,56499
2013-03-10,56499
2013-03-11,56499
2013-03-12,56499
2013-03-13,56499
2013-03-14,56499
2013-03-15,56499
2013-03-17,56400
2013-03-18,56499
2013-03-19,56599
2013-03-20,57001
2013-03-21,56902
2013-03-22,57001
2013-03-24,56902
2013-03-25,56902
2013-03-27,56803
2013-03-28,56949
2013-03-29,56698
2013-03-31,56698
2013-04-01,56698
2013-04-02,56803
2013-04-03,56004
2013-04-04,55700
2013-04-05,55700
2013-04-07,56499
2013-04-08,56499
2013-04-09,56202
2013-04-10,56453
2013-04-11,55800
2013-04-12,55800
2013-04-15,52499
2013-04-16,49501
2013-04-17,49501
2013-04-18,49501
2013-04-19,50003
2013-04-21,50498
2013-04-22,50802
2013-04-23,51000
2013-04-24,51502
2013-04-25,51997
2013-04-26,53000
2013-04-28,53000
2013-04-29,53000
2013-04-30,52802
2013-05-01,52802
2013-05-02,51997
2013-05-03,52499
2013-05-05,52499
2013-05-06,52300
2013-05-07,52300
2013-05-08,51799
2013-05-09,52300
2013-05-10,52102
2013-05-12,51898
2013-05-13,51601
2013-05-14,51700
2013-05-15,51198
2013-05-16,50003
2013-05-17,49752
2013-05-19,49099
2013-05-20,48696
2013-05-21,50300
2013-05-22,50154
2013-05-23,50248
2013-05-24,51000
2013-05-26,50598
2013-05-27,50802
2013-05-28,50703
2013-05-29,51000
2013-05-30,51198
2013-05-31,52347
2013-06-02,51350
2013-06-03,51601
2013-06-04,52254
2013-06-05,51851
2013-06-06,52050
2013-06-07,52499
2013-06-09,51700
2013-06-10,52149
2013-06-11,53000
2013-06-23,50498
2013-06-24,50399
2013-06-25,50201
2013-06-26,49350
2013-06-27,49501
2013-06-28,48102
2013-06-30,48498
2013-07-01,48498
2013-07-02,49151
2013-07-03,49151
2013-07-04,49501
2013-07-05,49350
2013-07-07,48603
2013-07-08,49099
2013-07-09,49851
2013-07-10,49303
2013-07-11,50399
2013-07-12,50399
2013-07-14,50399
2013-07-15,50901
2013-07-16,50749
2013-07-17,51000
2013-07-18,50848
2013-07-19,51402
2013-07-21,51198
2013-07-22,52201
2013-07-23,52703
2013-07-24,52802
2013-07-25,51799
2013-07-26,52312
2013-07-28,52300
2013-07-29,52300
2013-07-30,52598
2013-07-31,53898
2013-08-01,53047
2013-08-02,52050
2013-08-04,53298
2013-08-05,53298
2013-08-06,52802
2013-08-07,52300
2013-08-08,52703
