published_date,price
2010-06-01,553
2010-06-02,558
2010-06-07,538
2010-06-08,553
2010-06-09,558
2010-06-10,558
2010-06-13,560
2010-09-24,1100
2010-10-06,665
2010-10-07,675
2010-10-08,671
2010-10-10,675
2010-10-11,680
2010-10-12,680
2010-10-13,680
2010-10-20,680
2010-10-21,685
2010-10-22,680
2010-10-24,680
2010-11-02,715
2010-11-03,713
2010-11-04,713
2010-11-10,770
2010-11-14,762
2010-11-15,762
2010-11-16,756
2010-11-17,750
2010-11-18,750
2010-11-21,776
2010-11-22,784
2010-11-23,786
2010-11-25,794
2010-11-28,791
2010-11-29,790
2010-11-30,792
2010-12-01,805
2010-12-02,791
2010-12-05,830
2010-12-06,846
2010-12-07,857
2010-12-08,828
2010-12-09,828
2010-12-12,828
2010-12-13,830
2010-12-15,850
2010-12-19,850
2010-12-20,850
2010-12-21,850
2010-12-22,850
2010-12-23,850
2010-12-26,850
2010-12-27,850
2010-12-28,848
2010-12-29,872
2010-12-30,881
2010-12-31,881
2011-01-02,881
2011-01-03,885
2011-01-04,885
2011-01-05,870
2011-01-06,861
2011-01-07,850
2011-01-09,840
2011-01-10,846
2011-01-11,848
2011-01-12,855
2011-01-13,855
2011-01-14,850
2011-01-16,846
2011-01-17,846
2011-01-18,841
2011-01-19,850
2011-01-20,850
2011-01-21,820
2011-01-23,820
2011-01-24,821
2011-01-25,800
2011-01-26,800
2011-01-27,812
2011-01-28,800
2011-01-30,816
2011-01-31,826
2011-02-01,826
2011-02-02,830
2011-02-03,825
2011-02-04,835
2011-02-06,840
2011-02-07,835
2011-02-08,835
2011-02-09,858
2011-02-10,861
2011-02-11,861
2011-02-13,861
2011-02-14,861
2011-02-15,872
2011-02-16,881
2011-02-17,881
2011-02-18,898
2011-02-20,905
2011-02-21,910
2011-02-22,925
2011-02-23,925
2011-02-24,933
2011-02-25,925
2011-02-27,930
2011-02-28,935
2011-03-01,940
2011-03-03,966
2011-03-04,966
2011-03-06,988
2011-03-07,1001
2011-03-08,1001
2011-03-09,1005
2011-03-10,1005
2011-03-11,1001
2011-03-13,1008
2011-03-14,1012
2011-03-15,996
2011-03-16,984
2011-03-17,980
2011-03-18,986
2011-03-20,994
2011-03-21,1012
2011-03-22,1015
2011-03-23,1021
2011-03-24,1040
2011-03-25,1040
2011-03-27,1040
2011-03-28,1038
2011-03-29,1035
2011-03-30,1035
2011-03-31,1040
2011-04-01,1043
2011-04-03,1045
2011-04-04,1050
2011-04-05,1065
2011-04-06,1085
2011-04-07,1085
2011-04-08,1095
2011-04-10,1126
2011-04-11,1150
2011-04-12,1126
2011-04-13,1130
2011-04-15,1175
2011-04-17,1190
2011-04-18,1196
2011-04-19,1196
2011-04-20,1220
2011-04-21,1266
2011-04-22,1285
2011-04-24,1330
2011-04-25,1340
2011-04-26,1264
2011-04-27,1280
2011-04-28,1345
2011-04-29,1351
2011-05-01,1351
2011-05-02,1250
2011-05-03,1275
2011-05-04,1180
2011-05-05,1126
2011-05-06,1030
2011-05-08,1030
2011-05-09,1040
2011-05-10,1085
2011-05-11,1126
2011-05-12,1050
2011-05-13,1030
2011-05-15,1050
2011-05-16,1030
2011-05-18,996
2011-05-19,1018
2011-05-20,1012
2011-05-22,1012
2011-05-23,1012
2011-05-24,1018
2011-05-25,1056
2011-05-26,1107
2011-05-27,1100
2011-05-29,1100
2011-05-30,1100
2011-05-31,1096
2011-06-01,1093
2011-06-02,1071
2011-06-03,1040
2011-06-05,1040
2011-06-06,1052
2011-06-07,1052
2011-06-08,1056
2011-06-09,1050
2011-06-10,1071
2011-06-12,1045
2011-06-13,1036
2011-06-14,1022
2011-06-15,1022
2011-06-16,1025
2011-06-17,1025
2011-06-19,1035
2011-06-20,1035
2011-06-21,1035
2011-06-22,1045
2011-06-23,1045
2011-06-24,1022
2011-06-26,1001
2011-06-27,995
2011-06-28,987
2011-06-29,987
2011-06-30,995
2011-07-01,993
2011-07-03,980
2011-07-04,980
2011-07-05,980
2011-07-06,1018
2011-07-07,1025
2011-07-08,1033
2011-07-10,1040
2011-07-11,1040
2011-07-12,1030
2011-07-13,1030
2011-07-14,1079
2011-07-15,1079
2011-07-17,1100
2011-07-18,1106
2011-07-19,1115
2011-07-20,1110
2011-07-21,1126
2011-07-22,1106
2011-07-24,1120
2011-07-25,1130
2011-07-26,1130
2011-07-27,1135
2011-07-28,1130
2011-07-29,1115
2011-07-31,1122
2011-08-01,1115
2011-08-02,1115
2011-08-03,1135
2011-08-04,1161
2011-08-05,1120
2011-08-07,1106
2011-08-08,1140
2011-08-09,1135
2011-08-10,1110
2011-08-11,1135
2011-08-12,1126
2011-08-14,1130
2011-08-15,1126
2011-08-16,1135
2011-08-17,1145
2011-08-18,1156
2011-08-19,1176
2011-08-21,1231
2011-08-22,1266
2011-08-23,1270
2011-08-24,1231
2011-08-25,1176
2011-08-26,1200
2011-08-28,1215
2011-08-29,1205
2011-08-30,1201
2011-08-31,1215
2011-09-01,1211
2011-09-02,1211
2011-09-04,1240
2011-09-05,1240
2011-09-06,1250
2011-09-07,1220
2011-09-08,1225
2011-09-09,1240
2011-09-11,1235
2011-09-12,1235
2011-09-13,1225
2011-09-14,1231
2011-09-15,1225
2011-09-16,1200
2011-09-18,1225
2011-09-19,1231
2011-09-20,1211
2011-09-21,1220
2011-09-22,1225
2011-09-23,1155
2011-09-26,1001
2011-09-27,1100
2011-09-28,1100
2011-09-29,1100
2011-09-30,1120
2011-10-02,1120
2011-10-09,1120
2011-10-10,1120
2011-10-11,1120
2011-10-12,1120
2011-10-13,1110
2011-10-14,1075
2011-10-16,1075
2011-10-17,1065
2011-10-18,1060
2011-10-19,1056
2011-10-20,1040
2011-10-21,1040
2011-10-23,1040
2011-10-24,1040
2011-10-25,1040
2011-10-26,1071
2011-10-30,1110
2011-10-31,1091
2011-11-01,1100
2011-11-02,1075
2011-11-03,1085
2011-11-04,1100
2011-11-06,1091
2011-11-07,1100
2011-11-08,1110
2011-11-09,1126
2011-11-10,1100
2011-11-11,1100
2011-11-13,1115
2011-11-14,1115
2011-11-15,1110
2011-11-16,1115
2011-11-17,1106
2011-11-18,1056
2011-11-20,1080
2011-11-21,1080
2011-11-22,1071
2011-11-23,1100
2011-11-24,1080
2011-11-25,1075
2011-11-27,1060
2011-11-28,1071
2011-11-29,1075
2011-11-30,1075
2011-12-01,1091
2011-12-02,1091
2011-12-05,1085
2011-12-06,1065
2011-12-07,1085
2011-12-08,1095
2011-12-09,1075
2011-12-11,1085
2011-12-12,1075
2011-12-13,1071
2011-12-14,1071
2011-12-15,1036
2011-12-16,1025
2011-12-18,1025
2011-12-19,1021
2011-12-20,1010
2011-12-21,1025
2011-12-22,1015
2011-12-23,1015
2011-12-25,1015
2011-12-26,1015
2011-12-27,1007
2011-12-28,1003
2011-12-29,951
2011-12-30,966
2012-01-01,979
2012-01-02,980
2012-01-03,991
2012-01-04,1015
2012-01-05,1021
2012-01-06,1015
