symbol,name,source_category,instrument_type,sector,status
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
ADBL,Agricultural Development Bank Limited,Commercial Bank,ordinary,Commercial Bank,listed
ADBLB87,4% Agricultural Bond 2087,Corporate Debentures,debenture,,listed
ADBLD83,10.35% Agricultural Bank Debenture 2083,Corporate Debentures,debenture,,listed
AHL,Asian Hydropower Limited,Hydropower,ordinary,Hydropower,listed
AHPC,Arun Valley Hydropower Development Company Limited,Hydropower,ordinary,Hydropower,listed
AKJCL,Ankhukhola Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
AKPL,Arun Kabeli Power Limited,Hydropower,ordinary,Hydropower,listed
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
ALICL,Asian Life Insurance Company Limited,Life Insurance,ordinary,Life Insurance,listed
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
APHL,Appolo Hydropower Limited,Hydropower,ordinary,Hydropower,listed
API,Api Power Company Limited,Hydropower,ordinary,Hydropower,listed
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance,ordinary,Microfinance,listed
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,ordinary,Hotel & Tourism,listed
BARUN,Barun Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
BBC,Bishal Bazar Company Limited,Trading,ordinary,Trading,listed
BEDC,Bhugol Energy Development Company Limited,Hydropower,ordinary,Hydropower,listed
BFC,Best Finance Company Limited,Finance,ordinary,Finance,listed
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,ordinary,Hydropower,listed
BHCL,Bikash Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydropower,ordinary,Hydropower,listed
BHL,Balephi Hydropower Limited,Hydropower,ordinary,Hydropower,listed
BHPL,Barahi Hydropower Public Limited,Hydropower,ordinary,Hydropower,listed
BJHL,Bhujung Hydropower Limited,Hydropower,ordinary,Hydropower,listed
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydropower,ordinary,Hydropower,listed
BNL,Bottlers Nepal Limited (Balaju),Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
BNT,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,ordinary,Manufacturing and Processing,listed
BOKD86,8.5% BOK Debenture 2086,Corporate Debentures,debenture,,listed
BOKD86KA,10.5% BOK Debenture 2086,Corporate Debentures,debenture,,listed
BOKL,Bank of Kathmandu Limited,Merged,ordinary,,merged
BPCL,Butwal Power Company Limited,Hydropower,ordinary,Hydropower,listed
