symbol,name,amc
CSBY,Citizens Sadabahar Yojana,Citizens Capital
GSYA,Garima Subarna Yojana,Garima Capital
KSLY,Kumari Sunaulo Lagani Yojana,Kumari Capital
MSIP,Machhapuchchhre SIP Yojana,Machhapuchchhre Capital
NADDF,NIC Asia Dynamic Debt Fund,NIC Asia Capital
NFCF,Nabil Flexi Cap Fund,Nabil Investment Banking
NI31,NI 31 (Nabil Invest),Nabil Investment Banking
NIBLSF,NIBL Sahabhagita Fund,NIMB Ace Capital
NICAELIS,NIC Asia Equity Linked Investment Scheme,NIC Asia Capital
NMBSBF,NMB Saral Bachat Fund - E,NMB Capital
PSIS,Prabhu Systematic Investment Scheme,Prabhu Capital
SFF,Sanima Flexi Fund,Sanima Capital
SLK,Shubha Laxmi Kosh,
SSIS,Siddhartha Systematic Investment Scheme,Siddhartha Capital
