published_date,nav
2025-11-17,9.48835292
2025-11-18,9.5722006208
2025-11-19,9.5740933742834
2025-11-20,9.5638502349641
2025-11-21,9.5645232128885
2025-11-23,9.6838793018534
2025-11-24,9.8381464935061
2025-11-25,9.8858076720605
2025-11-26,9.9115930498953
2025-11-27,9.935200443222
2025-11-28,9.9347916951081
2025-11-30,9.8921024201471
2025-12-01,9.9167724881592
2025-12-02,9.9264071452573
2025-12-03,9.8945888079237
2025-12-05,9.8937490108167
2025-12-07,9.7766270998144
2025-12-08,9.7609024348758
2025-12-09,9.7814910390922
2025-12-10,9.7811956067448
2025-12-11,9.778418469768
2025-12-12,9.777988978976
2025-12-14,9.7469177393108
2025-12-15,9.7543644610537
2025-12-16,9.876109639976
2025-12-17,9.9270079999104
2025-12-18,9.9001898674202
2025-12-19,9.8997523460083
2025-12-21,9.832798827414
2025-12-22,9.7923665925
2025-12-23,9.809295199326
2025-12-24,9.830942400073
2025-12-26,9.8301346956965
2025-12-28,9.9760830530809
2025-12-29,9.9651783895318
2025-12-31,10.01356303884
2026-01-01,9.9670735054825
2026-01-02,9.9717741232193
2026-01-04,9.9440174203857
2026-01-05,10.060897012567
2026-01-06,10.124928041867
2026-01-07,10.116665598027
2026-01-08,10.134662763111
2026-01-09,10.134189862153
2026-01-12,10.131179309403
2026-01-13,10.142304489141
2026-01-14,10.119588000093
2026-01-16,10.118699023326
2026-01-18,10.254352964428
2026-01-20,10.402082208694
2026-01-21,10.420685297943
2026-01-22,10.471743287762
2026-01-23,10.471279767596
2026-01-25,10.628035651194
2026-01-26,10.628404818479
2026-01-27,10.531917663594
2026-01-28,10.513881915485
2026-01-29,10.447373370343
2026-02-01,10.398755400722
2026-02-02,10.406653272983
2026-02-03,10.431268771623
2026-02-04,10.388214939723
2026-02-05,10.51
2026-02-06,10.51
2026-02-07,10.51
2026-02-08,10.41
2026-02-09,10.34
2026-02-10,10.29
2026-02-11,10.29
2026-02-12,10.3
2026-02-13,10.3
2026-02-14,10.3
2026-02-15,10.3
2026-02-16,10.27
2026-02-17,10.19
2026-02-18,10.19
2026-02-19,10.19
2026-02-20,10.19
2026-02-21,10.19
2026-02-22,10.08
2026-02-23,10.09
2026-02-24,10.19
2026-02-25,10.21
2026-02-26,10.21
2026-02-27,10.21
2026-02-28,10.21
2026-03-01,10.27
2026-03-02,10.27
2026-03-03,10.4
2026-03-04,10.4
2026-03-05,10.39
2026-03-06,10.39
2026-03-07,10.39
2026-03-08,10.39
2026-03-09,10.92
2026-03-10,10.82
2026-03-11,10.69
2026-03-12,10.75
2026-03-13,10.75
2026-03-14,10.75
2026-03-15,10.75
2026-03-16,10.66
2026-03-17,10.69
2026-03-18,10.68
2026-03-19,10.85
2026-03-20,10.85
2026-03-21,10.85
2026-03-22,11.03
2026-03-23,11.08
2026-03-24,11.08
2026-03-25,11
2026-03-26,11.01
2026-03-27,11.01
2026-03-28,11.01
2026-03-29,10.8
