published_date,nav
2026-04-05,10
2026-04-06,10
2026-04-07,9.94
2026-04-08,9.94
2026-04-09,9.94
2026-04-10,9.94
2026-04-11,9.94
2026-04-12,9.94
2026-04-13,9.93
2026-04-14,9.93
2026-04-15,9.94
2026-04-16,9.92
2026-04-17,9.92
2026-04-18,9.92
2026-04-19,9.92
2026-04-20,9.92
2026-04-21,9.91
2026-04-22,9.91
2026-04-23,9.9
2026-04-24,9.89
2026-04-25,9.89
2026-04-26,9.89
2026-04-27,9.9
2026-04-28,9.89
2026-04-29,9.87
2026-04-30,9.87
2026-05-01,9.87
2026-05-02,9.86
2026-05-03,9.86
2026-05-04,9.85
2026-05-05,9.86
2026-05-06,9.86
2026-05-07,9.87
2026-05-08,9.9
2026-05-09,9.9
2026-05-10,9.9
2026-05-11,9.95
2026-05-12,9.91
2026-05-13,9.91
2026-05-14,9.91
2026-05-15,9.91
2026-05-16,9.91
2026-05-17,9.91
2026-05-18,9.91
2026-05-19,9.91
2026-05-20,9.95
2026-05-21,9.93
2026-05-22,9.96
2026-05-23,9.96
2026-05-24,9.96
2026-05-25,9.98
2026-05-26,9.97
2026-05-27,9.98
2026-05-28,9.98
2026-05-29,9.98
2026-05-30,9.98
2026-05-31,9.98
2026-06-01,9.92
2026-06-02,9.93
2026-06-03,9.96
2026-06-04,9.93
2026-06-05,9.9
2026-06-06,9.9
2026-06-07,9.9
2026-06-08,9.87
2026-06-09,9.86
2026-06-10,9.87
2026-06-11,9.86
2026-06-12,9.84
2026-06-13,9.84
2026-06-14,9.84
2026-06-15,9.82
2026-06-16,9.8
2026-06-17,9.81
2026-06-18,9.78
2026-06-19,9.79
2026-06-20,9.79
2026-06-21,9.79
2026-06-22,9.79
2026-06-23,9.72
2026-06-24,9.68
2026-06-25,9.67
2026-06-26,9.67
2026-06-27,9.67
2026-06-28,9.67
2026-06-29,9.63
2026-06-30,9.58
2026-07-01,9.68
2026-07-02,9.7
2026-07-03,9.73
2026-07-04,9.73
2026-07-05,9.73
2026-07-06,9.69
2026-07-07,9.74
2026-07-08,9.66
2026-07-09,9.62
2026-07-10,9.62
2026-07-11,9.62
2026-07-12,9.62
2026-07-13,9.55
2026-07-14,9.57
2026-07-15,9.59
2026-07-16,9.63
2026-07-17,9.85
2026-07-18,9.85
2026-07-19,9.85
2026-07-20,9.95
2026-07-21,9.95
2026-07-22,9.91
2026-07-23,9.92
2026-07-24,9.95
2026-07-25,9.95
2026-07-26,9.95
2026-07-27,9.87
2026-07-28,9.87
2026-07-29,9.84
2026-07-30,9.8
2026-07-31,9.83
2026-08-01,9.83
2026-08-02,9.83
2026-08-03,9.82
2026-08-04,9.79
2026-08-05,9.83
2026-08-06,9.8
2026-08-07,9.77
2026-08-08,9.77
2026-08-09,9.77
2026-08-10,9.76
2026-08-11,9.77
2026-08-12,9.78
2026-08-13,9.78
2026-08-14,9.79
2026-08-15,9.79
2026-08-16,9.79
2026-08-17,9.8
2026-08-18,9.76
2026-08-19,9.77
