published_date,nav
2021-03-04,10.91
2021-03-07,10.91
2021-03-09,10.9
2021-03-10,10.88
2021-03-11,10.85
2021-03-13,10.86
2021-03-14,10.86
2021-03-15,10.82
2021-03-16,10.81
2021-03-17,10.84
2021-03-18,10.86
2021-03-19,10.89
2021-03-20,10.89
2021-03-21,10.89
2021-03-22,10.93
2021-03-23,10.92
2021-03-24,10.93
2021-03-26,10.94
2021-03-27,10.95
2021-03-28,10.95
2021-03-29,10.95
2021-03-30,10.94
2021-03-31,10.98
2021-04-01,11.02
2021-04-02,11.04
2021-04-04,11.04
2021-04-05,11.08
2021-04-06,11.07
2021-04-07,11.07
2021-04-09,11.07
2021-04-10,11.07
2021-04-11,11.07
2021-04-12,11.09
2021-04-14,11.1
2021-04-15,11.1
2021-04-16,11.1
2021-04-17,11.1
2021-04-18,11.09
2021-04-19,11.08
2021-04-20,11.09
2021-04-21,11.08
2021-04-24,11.1
2021-04-25,11.07
2021-04-26,11.03
2021-04-27,11.08
2021-04-28,11.08
2021-04-29,11.1
2021-05-02,11.14
2021-05-03,11.14
2021-05-04,11.15
2021-05-05,11.15
2021-05-06,11.15
2021-05-07,11.15
2021-05-08,11.15
2021-05-09,11.13
2021-05-10,11.14
2021-05-11,11.16
2021-05-12,11.15
2021-05-13,11.16
2021-05-14,11.16
2021-05-15,11.16
2021-05-16,11.21
2021-05-17,11.22
2021-05-18,11.23
2021-05-19,11.23
2021-05-20,11.23
2021-05-21,11.23
2021-05-22,11.23
2021-05-23,11.26
2021-05-24,11.27
2021-05-25,11.28
2021-05-26,11.28
2021-05-27,11.27
2021-05-28,11.27
2021-05-29,11.27
2021-05-30,11.28
2021-05-31,11.26
2021-06-01,11.24
2021-06-02,11.27
2021-06-03,11.28
2021-06-05,11.28
2021-06-06,11.3
2021-06-07,11.31
2021-06-08,11.36
2021-06-09,11.36
2021-06-10,11.37
2021-06-12,11.37
2021-06-13,11.37
2021-06-14,11.39
2021-06-15,11.39
2021-06-16,11.39
2021-06-17,11.38
2021-06-19,11.39
2021-06-20,11.35
2021-06-21,11.28
2021-06-22,11.33
2021-06-23,11.3
2021-06-24,11.28
2021-06-26,11.28
2021-06-27,11.29
2021-06-28,11.29
2021-06-29,11.27
2021-06-30,11.27
2021-07-01,11.27
2021-07-02,11.27
2021-07-03,11.27
2021-07-04,11.25
2021-07-05,11.23
2021-07-06,11.23
2021-07-07,11.22
2021-07-08,11.23
2021-07-10,11.23
2021-07-11,11.28
2021-07-12,11.25
2021-07-13,11.25
2021-07-14,11.25
2021-07-18,11.33
2021-07-19,11.33
2021-07-21,11.33
2021-07-22,11.35
2021-07-24,11.35
2021-07-25,11.36
2021-07-26,11.36
2021-07-27,11.37
2021-07-28,11.4
