published_date,nav
2025-03-09,10
2025-03-10,10
2025-03-11,10
2025-03-12,10
2025-03-13,10
2025-03-14,10
2025-03-15,10
2025-03-16,10
2025-03-17,10
2025-03-18,10
2025-03-19,10
2025-03-20,10
2025-03-21,10
2025-03-22,10
2025-03-23,10
2025-03-24,10
2025-03-25,10
2025-03-26,10
2025-03-27,9.95
2025-03-28,9.95
2025-03-29,9.95
2025-03-30,9.96
2025-03-31,9.96
2025-04-01,9.95
2025-04-02,9.96
2025-04-03,9.96
2025-04-04,9.96
2025-04-05,9.96
2025-04-06,9.96
2025-04-07,9.95
2025-04-08,9.95
2025-04-09,9.95
2025-04-10,9.95
2025-04-11,9.95
2025-04-12,9.95
2025-04-13,9.95
2025-04-14,9.95
2025-04-15,9.95
2025-04-16,9.95
2025-04-17,9.97
2025-04-18,9.97
2025-04-19,9.97
2025-04-20,9.97
2025-04-21,9.97
2025-04-22,9.96
2025-04-23,9.93
2025-04-24,9.91
2025-04-26,9.91
2025-04-27,9.9
2025-04-28,9.88
2025-04-29,9.87
2025-04-30,9.87
2025-05-01,9.87
2025-05-02,9.87
2025-05-03,9.87
2025-05-04,9.87
2025-05-05,9.85
2025-05-06,9.86
2025-05-07,9.92
2025-05-08,9.92
2025-05-09,9.92
2025-05-10,9.92
2025-05-11,9.92
2025-05-12,9.92
2025-05-13,9.92
2025-05-14,9.91
2025-05-15,9.87
2025-05-16,9.87
2025-05-17,9.87
2025-05-18,9.88
2025-05-19,9.91
2025-05-20,9.97
2025-05-21,9.97
2025-05-22,9.97
2025-05-23,9.97
2025-05-24,9.97
2025-05-25,9.97
2025-05-26,9.96
2025-05-27,9.96
2025-05-28,9.96
2025-05-29,9.97
2025-05-30,9.97
2025-05-31,9.97
2025-06-01,9.97
2025-06-02,9.96
2025-06-03,9.92
2025-06-04,9.9
2025-06-05,9.89
2025-06-06,9.89
2025-06-07,9.89
2025-06-08,9.9
2025-06-09,9.93
2025-06-10,9.95
2025-06-11,9.94
2025-06-12,9.91
2025-06-13,9.93
2025-06-14,9.93
2025-06-15,9.92
2025-06-16,9.92
2025-06-17,9.93
2025-06-18,9.91
2025-06-19,9.89
2025-06-20,9.89
2025-06-22,9.85
2025-06-23,9.85
2025-06-24,9.85
2025-06-25,9.84
2025-06-26,9.85
2025-06-27,9.85
2025-06-29,9.87
2025-06-30,9.88
2025-07-01,9.92
2025-07-02,9.97
2025-07-03,10.02
2025-07-04,10.02
2025-07-06,9.99
2025-07-07,9.96
2025-07-08,9.96
2025-07-09,9.98
2025-07-10,10.01
2025-07-11,10.01
2025-07-13,10.05
2025-07-14,10.02
2025-07-15,10.08
2025-07-16,10.14
2025-07-17,10.23
2025-07-18,10.23
2025-07-20,10.25
2025-07-21,10.31
2025-07-22,10.43
2025-07-23,10.43
2025-07-24,10.44
2025-07-25,10.44
2025-07-27,10.43
2025-07-28,10.47
2025-07-29,10.52
2025-07-30,10.46
2025-07-31,10.42
2025-08-01,10.42
2025-08-03,10.35
2025-08-04,10.35
2025-08-05,10.3
2025-08-06,10.29
2025-08-07,10.33
2025-08-08,10.33
2025-08-09,10.33
2025-08-10,10.33
2025-08-11,10.27
2025-08-12,10.23
2025-08-13,10.22
2025-08-14,10.21
2025-08-15,10.21
2025-08-16,10.21
2025-08-17,10.19
2025-08-18,10.19
2025-08-19,10.21
2025-08-20,10.21
2025-08-21,10.19
2025-08-22,10.19
2025-08-24,10.16
2025-08-25,10.18
2025-08-26,10.18
2025-08-27,10.24
2025-08-28,10.2
2025-08-29,10.2
2025-08-31,10.15
2025-09-01,10.16
2025-09-02,10.14
2025-09-03,10.12
2025-09-04,10.1
2025-09-05,10.1
2025-09-07,10.09
2025-09-08,10.05
2025-09-12,10.05
2025-09-14,10.05
2025-09-15,10.05
2025-09-16,10.05
2025-09-18,9.85
2025-09-21,9.99
2025-09-23,10.06
2025-09-24,10.02
2025-09-25,10.02
2025-09-26,10.02
2025-09-28,10.05
2025-10-07,9.97
2025-10-08,9.89
2025-10-09,9.94
2025-10-10,9.94
2025-10-12,9.8
2025-10-13,9.86
2025-10-14,9.81
2025-10-15,9.78
2025-10-16,9.74
2025-10-17,9.74
2025-10-19,9.78
2025-10-26,9.76
2025-10-28,9.9
2025-10-29,9.88
2025-10-30,9.97
2025-10-31,9.97
2025-11-02,10.05
2025-11-03,10.01
2025-11-04,9.96
2025-11-05,9.94
2025-11-06,9.93
2025-11-07,9.93
2025-11-09,9.88
2025-11-10,9.87
2025-11-11,9.9
2025-11-12,9.87
2025-11-13,9.88
2025-11-14,9.88
2025-11-16,9.91
2025-11-17,9.94
2025-11-18,9.98
2025-11-19,9.97
2025-11-20,9.96
2025-11-21,9.94
2025-11-23,10.02
2025-11-24,10.16
2025-11-25,10.18
2025-11-26,10.21
2025-11-27,10.21
2025-11-28,10.21
2025-11-30,10.17
2025-12-01,10.17
2025-12-02,10.14
2025-12-03,10.13
2025-12-05,10.13
2025-12-07,10.09
2025-12-08,10.08
2025-12-09,10.11
2025-12-10,10.1
2025-12-11,10.09
2025-12-12,10.09
2025-12-14,10.09
2025-12-15,10.13
2025-12-16,10.2
2025-12-17,10.21
2025-12-18,10.19
2025-12-19,10.2
2025-12-21,10.14
2025-12-22,10.13
2025-12-23,10.08
2025-12-24,10.07
2025-12-26,10.07
2025-12-28,10.14
2025-12-29,10.13
2025-12-31,10.15
2026-01-01,10.11
2026-01-02,10.12
2026-01-04,10.06
2026-01-05,10.12
2026-01-06,10.14
2026-01-07,10.12
2026-01-08,10.12
2026-01-09,10.15
2026-01-12,10.16
2026-01-13,10.21
2026-01-14,10.28
2026-01-16,10.28
2026-01-18,10.35
2026-01-20,10.44
2026-01-21,10.41
2026-01-22,10.44
2026-01-23,10.44
2026-01-25,10.56
2026-01-26,10.55
2026-01-27,10.47
2026-01-28,10.47
2026-01-29,10.42
2026-02-01,10.38
2026-02-02,10.39
2026-02-03,10.38
2026-02-04,10.37
2026-02-05,10.41
2026-02-06,10.41
2026-02-08,10.38
2026-02-09,10.32
2026-02-10,10.29
2026-02-11,10.3
2026-02-12,10.31
2026-02-13,10.31
2026-02-16,10.28
2026-02-17,10.24
2026-02-20,10.24
2026-02-22,10.21
2026-02-23,10.2
2026-02-24,10.26
2026-02-25,10.29
2026-02-26,10.31
2026-02-27,10.3
2026-03-01,10.34
2026-03-03,10.44
2026-03-09,10.79
2026-03-10,10.74
2026-03-11,10.64
2026-03-12,10.68
2026-03-13,10.68
2026-03-15,10.68
2026-03-16,10.65
2026-03-17,10.66
2026-03-19,10.82
2026-03-20,10.82
2026-03-22,10.99
2026-03-23,11.01
2026-03-24,11.03
2026-03-25,10.96
2026-03-26,10.99
2026-03-29,10.82
2026-03-30,10.7
2026-03-31,10.75
2026-04-01,10.58
2026-04-02,10.59
2026-04-03,10.59
2026-04-05,10.34
2026-04-06,10.54
2026-04-07,10.52
2026-04-08,10.66
2026-04-09,10.76
2026-04-10,10.7
2026-04-13,10.71
2026-04-15,10.79
2026-04-16,10.72
2026-04-17,10.72
2026-04-20,10.68
2026-04-21,10.65
2026-04-22,10.66
2026-04-23,10.61
2026-04-24,10.61
2026-04-27,10.63
2026-04-28,10.57
2026-04-29,10.5
2026-04-30,10.5
2026-05-04,10.42
2026-05-05,10.44
2026-05-06,10.44
2026-05-07,10.45
2026-05-08,10.52
2026-05-11,10.62
2026-05-12,10.53
2026-05-13,10.5
2026-05-14,10.48
2026-05-15,10.48
2026-05-18,10.48
2026-05-19,10.46
2026-05-20,10.54
2026-05-21,10.5
2026-05-22,10.54
2026-05-25,10.61
2026-05-26,10.58
2026-05-27,10.61
2026-06-01,10.55
2026-06-02,10.58
2026-06-03,10.62
2026-06-04,10.6
2026-06-05,10.57
2026-06-08,10.53
2026-06-09,10.51
2026-06-10,10.52
2026-06-11,10.51
2026-06-12,10.49
2026-06-15,10.48
2026-06-16,10.45
2026-06-17,10.45
2026-06-18,10.44
2026-06-19,10.45
2026-06-22,10.45
2026-06-23,10.39
2026-06-24,10.34
2026-06-25,10.34
2026-06-26,10.33
2026-06-29,10.29
2026-06-30,10.23
2026-07-01,10.33
2026-07-02,10.37
2026-07-03,10.35
2026-07-06,10.29
2026-07-07,10.36
2026-07-08,10.29
2026-07-09,10.24
2026-07-10,10.24
2026-07-13,10.16
2026-07-14,10.18
2026-07-15,10.22
2026-07-16,10.29
2026-07-17,10.46
2026-07-20,10.55
2026-07-21,10.55
2026-07-22,10.52
2026-07-23,10.56
2026-07-24,10.6
2026-07-27,10.51
2026-07-28,10.5
2026-07-29,10.47
2026-07-30,10.44
2026-07-31,10.47
2026-08-03,10.49
2026-08-04,10.44
2026-08-05,10.43
2026-08-06,10.37
2026-08-07,10.36
2026-08-10,10.34
2026-08-11,10.34
2026-08-12,10.36
2026-08-13,10.38
2026-08-14,10.37
2026-08-17,10.36
