published_date,nav
2024-02-21,9.96
2024-02-22,9.88
2024-02-23,9.88
2024-02-24,9.88
2024-02-25,9.8
2024-02-26,9.82
2024-02-27,9.84
2024-02-28,9.8
2024-02-29,9.72
2024-03-01,9.74
2024-03-02,9.74
2024-03-03,9.7
2024-03-04,10.06
2024-03-05,9.88
2024-03-06,9.88
2024-03-07,9.92
2024-03-08,9.92
2024-03-09,9.92
2024-03-10,10.02
2024-03-11,10.02
2024-03-12,10.26
2024-03-13,10.24
2024-03-14,10.14
2024-03-15,10.14
2024-03-16,10.14
2024-03-17,10.11
2024-03-18,10.14
2024-03-19,10.13
2024-03-20,10.12
2024-03-21,10.08
2024-03-22,10.08
2024-03-23,10.08
2024-03-24,10.08
2024-03-25,10.01
2024-03-26,10.03
2024-03-27,10
2024-03-28,9.98
2024-03-29,9.98
2024-03-30,9.98
2024-03-31,9.94
2024-04-01,9.91
2024-04-02,9.91
2024-04-03,9.91
2024-04-04,9.91
2024-04-05,9.91
2024-04-06,9.91
2024-04-07,10
2024-04-08,10
2024-04-09,10.5
2024-04-10,10
2024-04-11,10
2024-04-12,10
2024-04-13,10
2024-04-14,9.99
2024-04-15,9.93
2024-04-16,9.88
2024-04-17,9.88
2024-04-18,9.81
2024-04-19,9.81
2024-04-20,9.81
2024-04-21,9.84
2024-04-22,9.8
2024-04-23,9.8
2024-04-24,9.78
2024-04-25,9.78
2024-04-26,9.78
2024-04-27,9.78
2024-04-28,9.84
2024-04-29,9.83
2024-04-30,9.95
2024-05-01,9.95
2024-05-02,9.92
2024-05-03,9.92
2024-05-04,9.92
2024-05-05,9.84
2024-05-06,9.8
2024-05-07,9.81
2024-05-08,9.81
2024-05-09,9.82
2024-05-10,9.82
2024-05-11,9.82
2024-05-12,9.86
2024-05-13,9.92
2024-05-14,10.03
2024-05-15,9.99
2024-05-16,9.98
2024-05-17,9.98
2024-05-18,9.98
2024-05-19,10.17
2024-05-20,10.24
2024-05-21,10.31
2024-05-22,10.36
2024-05-23,10.38
2024-05-24,10.38
2024-05-25,10.38
2024-05-26,10.32
2024-05-27,10.3
2024-05-28,10.29
2024-05-29,10.29
2024-05-30,10.12
2024-05-31,10.12
2024-06-01,10.12
2024-06-02,10.17
2024-06-03,10.15
2024-06-04,10.17
2024-06-05,10.13
2024-06-06,10.12
2024-06-07,10.12
2024-06-08,10.12
2024-06-09,10.1
2024-06-10,10.14
2024-06-11,10.29
2024-06-12,10.32
2024-06-13,10.29
2024-06-14,10.29
2024-06-15,10.29
2024-06-16,10.22
2024-06-17,10.22
2024-06-18,10.16
2024-06-19,10.16
2024-06-20,10.12
2024-06-21,10.12
2024-06-22,10.12
2024-06-23,10.09
2024-06-24,10.09
2024-06-25,10.1
2024-06-26,10.06
2024-06-27,10.02
2024-06-28,10.02
2024-06-29,10.02
2024-07-01,10.03
2024-07-02,10.19
2024-07-03,10.19
2024-07-04,10.26
2024-07-05,10.26
2024-07-06,10.26
2024-07-07,10.35
2024-07-08,10.34
2024-07-09,10.39
2024-07-10,10.48
2024-07-11,10.57
2024-07-12,10.57
2024-07-13,10.57
2024-07-14,10.77
2024-07-15,11.05
2024-07-16,11.24
2024-07-17,11.44
2024-07-19,11.44
2024-07-20,11.44
2024-07-21,11.65
2024-07-22,11.67
2024-07-23,11.99
2024-07-24,11.89
2024-07-25,12.07
2024-07-26,12.07
2024-07-27,12.07
2024-07-28,12.43
2024-07-29,11.55
2024-07-30,11.69
2024-07-31,11.88
2024-08-01,11.86
2024-08-02,11.86
2024-08-03,11.86
2024-08-04,11.86
2024-08-05,12.01
2024-08-06,11.49
2024-08-07,11.86
2024-08-08,11.91
2024-08-09,11.91
2024-08-10,11.91
2024-08-11,12.38
2024-08-12,12.68
2024-08-13,12.64
2024-08-14,12.79
2024-08-15,12.93
2024-08-16,12.93
2024-08-17,12.93
2024-08-18,12.82
2024-08-19,12.82
2024-08-20,12.82
2024-08-21,12.79
2024-08-22,12.81
2024-08-23,12.81
2024-08-24,12.81
2024-08-29,12.09
2024-08-30,12.09
2024-08-31,12.09
2024-09-01,11.88
2024-09-02,12.32
2024-09-03,12.37
2024-09-04,12.07
2024-09-05,12.06
2024-09-06,12.06
2024-09-07,12.06
2024-09-08,11.99
2024-09-09,11.75
2024-09-10,11.68
2024-09-11,11.59
2024-09-12,11.85
2024-09-13,11.85
2024-09-14,11.85
2024-09-15,11.65
2024-09-16,11.45
2024-09-17,11.45
2024-09-18,11.4
2024-09-19,11.4
2024-09-20,11.4
2024-09-21,11.4
2024-09-22,11.44
2024-09-23,11.22
2024-09-24,11.04
2024-09-25,11.19
2024-09-27,11.06
2024-09-28,11.06
2024-09-29,11
2024-09-30,11.17
2024-10-01,11.58
2024-10-02,11.51
2024-10-03,11.51
2024-10-04,11.51
2024-10-05,11.51
2024-10-06,11.7
2024-10-07,11.84
2024-10-09,11.77
2024-10-10,11.77
2024-10-11,11.77
2024-10-12,11.77
2024-10-13,11.77
2024-10-14,11.77
2024-10-15,11.87
2024-10-16,12.08
2024-10-17,12.08
2024-10-18,12.08
2024-10-19,12.08
2024-10-20,11.88
2024-10-21,11.65
2024-10-22,11.74
2024-10-23,11.67
2024-10-24,11.6
2024-10-29,11.81
2024-10-30,11.81
2024-10-31,11.81
2024-11-01,11.81
2024-11-02,11.81
2024-11-03,11.81
2024-11-04,11.81
2024-11-05,11.83
2024-11-06,11.82
2024-11-07,11.82
2024-11-08,11.82
2024-11-09,11.82
2024-11-10,12.02
2024-11-11,12.1
2024-11-12,12.05
2024-11-13,11.98
2024-11-14,12.03
2024-11-15,12.03
